#Format: frequency (Hz)  ratio (dB)  phase (deg)
     3307.65     -199.511      36.2823
     3338.29     -199.432      38.0612
     3369.21     -199.344      39.8563
     3400.41     -199.248      41.6616
     3431.91     -199.145      43.4713
     3463.69     -199.033      45.2793
     3495.78     -198.915      47.0793
     3528.15     -198.788      48.8655
     3560.83     -198.656      50.6323
     3593.81     -198.517      52.3749
      3627.1     -198.373      54.0885
      3660.7     -198.225      55.7698
      3694.6     -198.073      57.4161
     3728.82     -197.919       59.025
     3763.36     -197.764      60.5954
     3798.22     -197.609      62.1287
      3833.4     -197.454      63.6247
      3868.9     -197.301      65.0857
     3904.74     -197.151      66.5147
      3940.9     -197.004       67.915
      3977.4     -196.862      69.2912
     4014.24     -196.725      70.6486
     4051.42     -196.593      71.9921
     4088.95     -196.468      73.3289
     4126.82      -196.35      74.6639
     4165.04     -196.238       76.004
     4203.62     -196.133      77.3556
     4242.56     -196.034      78.7255
     4281.85     -195.942      80.1201
     4321.51     -195.857      81.5451
     4361.54     -195.778      83.0067
     4401.94     -195.704       84.509
     4442.71     -195.634      86.0577
     4483.86      -195.57      87.6557
     4525.39     -195.508      89.3069
      4567.3      -195.45      91.0143
      4609.6     -195.393      92.7785
      4652.3     -195.337      94.6016
     4695.39     -195.282      96.4827
     4738.88     -195.227      98.4221
     4782.77     -195.171      100.419
     4827.07     -195.113      102.471
     4871.78     -195.053      104.576
      4916.9     -194.991      106.732
     4962.44     -194.926      108.936
     5008.41     -194.858      111.185
      5054.8     -194.786      113.476
     5101.62     -194.711      115.806
     5148.87     -194.633      118.173
     5196.56     -194.551      120.574
     5244.69     -194.467      123.007
     5293.27     -194.379      125.469
     5342.29     -194.289      127.961
     5391.77     -194.197      130.481
     5441.71     -194.103      133.028
     5492.12     -194.007      135.602
     5542.99      -193.91      138.205
     5594.33     -193.811      140.836
     5646.14     -193.712      143.497
     5698.44     -193.613       146.19
     5751.22     -193.513      148.915
     5804.49     -193.413      151.676
     5858.25     -193.313      154.473
     5912.51     -193.214      157.311
     5967.27     -193.115      160.192
     6022.54     -193.016      163.117
     6078.32     -192.918       166.09
     6134.62     -192.821      169.114
     6191.44     -192.724      172.192
     6248.79     -192.628      175.327
     6306.67     -192.533       178.52
     6365.08     -192.437     -178.223
     6424.03     -192.343     -174.902
     6483.53     -192.248     -171.517
     6543.59     -192.155     -168.073
     6604.19     -192.081     -164.484
     6665.36     -191.976     -160.786
      6727.1     -191.875      -157.11
     6789.41      -191.78     -153.328
     6852.29     -191.685     -149.448
     6915.76      -191.59      -145.47
     6979.81     -191.495      -141.39
     7044.46       -191.4     -137.203
     7109.71     -191.304     -132.904
     7175.56     -191.207     -128.472
     7242.02     -191.111     -123.936
      7309.1     -191.014     -119.254
      7376.8     -190.917     -114.423
     7445.12      -190.82     -109.432
     7514.08     -190.721     -104.266
     7583.68     -190.621     -98.9068
     7653.92      -190.52     -93.3348
     7724.81     -190.415     -87.5262
     7796.36     -190.305     -81.4528
     7868.57     -190.188     -75.0844
     7941.45     -190.059      -68.386
     8015.01     -189.913     -61.3208
     8089.24     -189.742     -53.8525
     8164.17     -189.538     -45.9492
     8239.79     -189.285     -37.5891
      8316.1      -188.97     -28.7703
     8393.13     -188.574     -19.5202
     8470.87      -188.08     -9.90444
     8549.33     -187.472   -0.0307837
     8628.51     -186.739      9.95669
     8708.43     -185.879      19.8937
     8789.09     -184.896      29.6189
      8870.5     -183.803      38.9959
     8952.66     -182.616      47.9271
     9035.58     -181.353      56.3574
     9119.27     -180.032      64.2692
     9203.73     -178.668      71.6724
     9288.98     -177.273      78.5938
     9375.01     -175.857      85.0711
     9461.85     -174.427      91.1438
     9549.49     -172.986      96.8534
     9637.93      -171.54      102.236
      9727.2     -170.089      107.329
      9817.3     -168.635      112.157
     9908.23     -167.178      116.753
       10000     -165.718      121.138
