#Format: frequency (Hz)  ratio (dB)  phase (deg)
     5.98104     -123.572      -171.32
     6.03644     -123.954      179.595
     6.09235     -124.592      170.907
     6.14878     -125.436       163.09
     6.20573     -126.421      156.387
     6.26321     -127.484      150.826
     6.32122     -128.577      146.312
     6.37977      -129.67      142.697
     6.43886     -130.743      139.829
      6.4985     -131.786      137.571
     6.55869     -132.796      135.809
     6.61943     -133.769      134.451
     6.68074     -134.707      133.425
     6.74262     -135.612      132.671
     6.80507     -136.484      132.144
      6.8681     -137.326      131.806
     6.93172      -138.14      131.627
     6.99592     -138.927      131.585
     7.06072      -139.69      131.658
     7.12612     -140.431      131.832
     7.19212      -141.15      132.093
     7.25873     -141.849      132.429
     7.32597      -142.53      132.831
     7.39382     -143.194      133.293
      7.4623      -143.84      133.806
     7.53142     -144.472      134.366
     7.60118     -145.089      134.968
     7.67158     -145.692      135.606
     7.74264     -146.281      136.278
     7.81435     -146.858      136.981
     7.88673     -147.423      137.712
     7.95978     -147.977      138.467
      8.0335     -148.519      139.245
     8.10791      -149.05      140.044
     8.18301     -149.571      140.862
      8.2588     -150.082      141.698
     8.33529     -150.583      142.549
      8.4125     -151.074      143.414
     8.49042     -151.556      144.293
     8.56906     -152.028      145.183
     8.64842     -152.492      146.084
     8.72853     -152.946      146.994
     8.80937     -153.391      147.912
     8.89097     -153.828      148.837
     8.97332     -154.256      149.767
     9.05643     -154.675      150.702
     9.14031     -155.086       151.64
     9.22497     -155.488       152.58
     9.31041     -155.881      153.522
     9.39665     -156.266      154.463
     9.48368     -156.642      155.403
     9.57152      -157.01      156.341
     9.66017     -157.369      157.276
     9.74965      -157.72      158.208
     9.83995     -158.062      159.136
     9.93109     -158.396       160.06
     10.0231     -158.721      160.982
     10.1159     -159.039      161.903
     10.2096     -159.347      162.827
     10.3042     -159.648       163.76
     10.3996      -159.94      164.709
     10.4959     -160.223      165.687
     10.5931     -160.497      166.711
     10.6913      -160.76      167.807
     10.7903     -161.011       169.01
     10.8902     -161.246      170.371
     10.9911     -161.457      171.964
     11.0929     -161.632      173.891
     11.1956     -161.751        176.3
     11.2993     -161.774      179.403
      11.404     -161.628     -176.504
     11.5096     -161.165     -171.026
     11.6162     -160.078     -163.734
     11.7238     -157.629     -154.566
     11.8324     -151.303     -146.653
      11.942     -144.765      78.7811
     12.0526       -157.2      76.6153
     12.1642     -161.824      86.4376
     12.2769     -164.449      94.9981
     12.3906     -166.219      101.776
     12.5054     -167.571      107.143
     12.6212       -168.7      111.529
     12.7381     -169.704      115.276
     12.8561     -170.633      118.635
     12.9752     -171.511      121.784
     13.0954     -172.355       124.85
     13.2166     -173.169      127.927
     13.3391     -173.959      131.081
     13.4626     -174.724      134.367
     13.5873     -175.464      137.824
     13.7131     -176.176      141.487
     13.8402     -176.858      145.386
     13.9684     -177.505      149.548
     14.0977     -178.114      154.001
     14.2283     -178.677      158.769
     14.3601     -179.187      163.881
     14.4931     -179.634      169.367
     14.6273     -180.007      175.257
     14.7628      -180.29     -178.416
     14.8996     -180.462     -171.618
     15.0376     -180.497     -164.319
     15.1768     -180.356     -156.491
     15.3174     -179.989      -148.12
     15.4593     -179.318     -139.224
     15.6025     -178.219     -129.884
      15.747     -176.478     -120.367
     15.8928      -173.64     -111.559
       16.04     -168.438     -107.852
     16.1886     -159.059     -165.853
     16.3385     -168.991      139.635
     16.4899     -174.487      147.558
     16.6426     -177.436      163.588
     16.7967     -178.878     -175.704
     16.9523     -178.852     -149.765
     17.1093      -176.62     -116.784
     17.2678     -169.642     -75.6144
     17.4277     -142.724      -71.457
     17.5892     -144.952      111.745
     17.7521     -162.202     -21.5299
     17.9165     -175.197      20.5592
     18.0824     -179.689      57.7278
     18.2499     -180.709      86.3946
      18.419     -179.272      107.284
     18.5896     -174.307      114.926
     18.7617     -169.644      32.4966
     18.9355     -180.371      9.44017
     19.1109     -186.071       17.593
     19.2879     -189.847      28.6686
     19.4666     -192.653      40.0021
     19.6469     -194.863      51.0069
     19.8288     -196.663       61.511
     20.0125     -198.165      71.4667
     20.1979     -199.441      80.8718
     20.3849     -200.539      89.7464
     20.5737     -201.498       98.119
     20.7643     -202.343      106.025
     20.9566     -203.097        113.5
     21.1507     -203.775      120.578
     21.3466     -204.392      127.296
     21.5443     -204.956      133.683
     21.7439     -205.477       139.77
     21.9453     -205.961      145.583
     22.1486     -206.413      151.149
     22.3537     -206.839      156.486
     22.5607     -207.242      161.618
     22.7697     -207.625      166.561
     22.9806      -207.99      171.332
     23.1935     -208.341      175.947
     23.4083     -208.678     -179.583
     23.6251     -209.003     -175.243
     23.8439     -209.319     -171.022
     24.0648     -209.625      -166.91
     24.2876     -209.923     -162.898
     24.5126     -210.214     -158.975
     24.7396     -210.498     -155.133
     24.9688     -210.778     -151.365
     25.2001     -211.051     -147.663
     25.4335     -211.321     -144.018
      25.669     -211.586     -140.423
     25.9068     -211.848     -136.871
     26.1467     -212.107     -133.355
     26.3889     -212.362     -129.868
     26.6333     -212.615     -126.401
       26.88     -212.865     -122.946
      27.129     -213.114     -119.497
     27.3803      -213.36     -116.044
     27.6339     -213.604     -112.576
     27.8898     -213.846     -109.085
     28.1481     -214.086     -105.557
     28.4088     -214.324      -101.98
      28.672      -214.56     -98.3385
     28.9375     -214.793     -94.6154
     29.2056     -215.022     -90.7909
     29.4761     -215.247     -86.8404
     29.7491     -215.466     -82.7357
     30.0246     -215.677     -78.4419
     30.3027     -215.879     -73.9184
     30.5834     -216.065      -69.113
     30.8666     -216.233     -63.9639
     31.1525     -216.371     -58.3924
     31.4411      -216.47     -52.3038
     31.7323     -216.509     -45.5824
     32.0262     -216.461     -38.0914
     32.3228     -216.286     -29.6781
     32.6222     -215.919     -20.1907
     32.9244     -215.269     -9.51734
     33.2293     -214.201       2.3434
     33.5371     -212.524      15.1738
     33.8477     -209.952      28.3653
     34.1612         -206      40.4553
     34.4776     -199.642      46.6885
      34.797     -189.301      18.4539
     35.1193     -187.051     -60.7341
     35.4446     -191.144     -140.183
     35.7729     -200.818     -156.828
     36.1042     -206.354     -149.319
     36.4386     -209.712     -138.987
     36.7761      -211.93      -129.25
     37.1167     -213.501     -120.675
     37.4605     -214.681     -113.201
     37.8075      -215.61     -106.638
     38.1576     -216.372     -100.807
     38.5111     -217.016     -95.5596
     38.8678     -217.574     -90.7777
     39.2278      -218.07      -86.374
     39.5911     -218.516     -82.2773
     39.9578     -218.924     -78.4351
     40.3279     -219.302     -74.8042
     40.7014     -219.656     -71.3504
     41.0784     -219.988     -68.0462
     41.4589     -220.304     -64.8697
     41.8429     -220.606     -61.8021
     42.2304     -220.895     -58.8284
     42.6216     -221.173     -55.9356
     43.0164     -221.442     -53.1128
     43.4148     -221.703     -50.3509
     43.8169     -221.956     -47.6418
     44.2227     -222.202     -44.9788
     44.6323     -222.442     -42.3561
     45.0457     -222.676     -39.7683
      45.463     -222.904      -37.211
      45.884     -223.128     -34.6804
      46.309     -223.346     -32.1728
     46.7379      -223.56     -29.6853
     47.1708      -223.77     -27.2152
     47.6078     -223.975     -24.7599
     48.0487     -224.175     -22.3175
     48.4937     -224.372     -19.8862
     48.9429     -224.564     -17.4642
     49.3962     -224.752     -15.0503
     49.8537     -224.935     -12.6431
     50.3155     -225.114     -10.2417
     50.7815     -225.289     -7.84517
     51.2519      -225.46     -5.45285
     51.7266     -225.626     -3.06417
     52.2057     -225.788    -0.678703
     52.6892     -225.946      1.70384
     53.1772     -226.098      4.08361
     53.6698     -226.247      6.46067
     54.1669      -226.39      8.83495
     54.6686     -226.529      11.2062
     55.1749     -226.662      13.5743
      55.686     -226.791      15.9387
     56.2017     -226.915      18.2991
     56.7223     -227.034      20.6548
     57.2477     -227.148      23.0053
     57.7779     -227.257        25.35
      58.313      -227.36       27.688
     58.8532     -227.459      30.0185
     59.3983     -227.552      32.3408
     59.9484      -227.64      34.6539
     60.5037     -227.723       36.957
     61.0641     -227.801      39.2492
     61.6297     -227.873      41.5294
     62.2005     -227.941      43.7968
     62.7766     -228.004      46.0505
     63.3581     -228.061      48.2895
     63.9449     -228.114      50.5129
     64.5372     -228.162      52.7199
     65.1349     -228.205      54.9096
     65.7382     -228.244      57.0812
     66.3471     -228.278      59.2341
     66.9616     -228.308      61.3672
     67.5818     -228.333      63.4797
     68.2078     -228.354      65.5716
     68.8395     -228.372      67.6423
     69.4771     -228.385      69.6906
     70.1206     -228.395      71.7166
     70.7701     -228.401      73.7202
     71.4256     -228.403      75.6998
     72.0872     -228.402      77.6564
     72.7548     -228.398       79.589
     73.4287     -228.391      81.4975
     74.1088     -228.381       83.382
     74.7952     -228.369      85.2424
      75.488     -228.353      87.0787
     76.1872     -228.335      88.8904
     76.8928     -228.315       90.678
      77.605     -228.292       92.441
     78.3238     -228.268      94.1805
     79.0493     -228.241      95.8959
     79.7814     -228.212      97.5873
     80.5204     -228.182      99.2552
     81.2662      -228.15        100.9
     82.0189     -228.116      102.521
     82.7786     -228.081       104.12
     83.5453     -228.044      105.695
     84.3191     -228.007      107.249
     85.1001     -227.968       108.78
     85.8883     -227.927       110.29
     86.6838     -227.886      111.778
     87.4867     -227.844      113.246
      88.297     -227.801      114.692
     89.1148     -227.757      116.118
     89.9402     -227.712      117.524
     90.7733     -227.667      118.911
      91.614     -227.621      120.278
     92.4626     -227.574      121.625
      93.319     -227.527      122.954
     94.1833      -227.48      124.265
     95.0557     -227.432      125.559
     95.9361     -227.383      126.833
     96.8247     -227.334      128.092
     97.7215     -227.285      129.333
     98.6266     -227.236      130.557
     99.5401     -227.186      131.765
     100.462     -227.136      132.957
     101.393     -227.086      134.133
     102.332     -227.036      135.294
     103.279     -226.985       136.44
     104.236     -226.935      137.572
     105.202     -226.884      138.688
     106.176     -226.834      139.791
     107.159     -226.783      140.879
     108.152     -226.732      141.955
     109.154     -226.682      143.017
     110.165     -226.631      144.065
     111.185     -226.581      145.101
     112.215      -226.53      146.125
     113.254      -226.48      147.136
     114.303     -226.429      148.135
     115.362     -226.379      149.123
      116.43     -226.329      150.098
     117.509     -226.279      151.063
     118.597     -226.229      152.017
     119.696     -226.179      152.959
     120.804      -226.13      153.891
     121.923      -226.08      154.813
     123.052     -226.031      155.724
     124.192     -225.982      156.626
     125.342     -225.933      157.518
     126.503     -225.884        158.4
     127.675     -225.836      159.273
     128.858     -225.788      160.136
     130.051      -225.74      160.991
     131.256     -225.692      161.837
     132.471     -225.644      162.674
     133.698     -225.597      163.503
     134.937      -225.55      164.324
     136.187     -225.503      165.136
     137.448     -225.457      165.941
     138.721      -225.41      166.738
     140.006     -225.364      167.527
     141.303     -225.318      168.309
     142.611     -225.273      169.084
     143.932     -225.228      169.852
     145.265     -225.183      170.613
     146.611     -225.138      171.367
     147.969     -225.094      172.114
     149.339      -225.05      172.856
     150.723     -225.006      173.591
     152.119     -224.963      174.319
     153.527      -224.92      175.042
     154.949     -224.877      175.759
     156.385     -224.834       176.47
     157.833     -224.792      177.176
     159.295     -224.751      177.876
      160.77     -224.709      178.571
      162.26     -224.668      179.261
     163.762     -224.627      179.946
     165.279     -224.587     -179.374
      166.81     -224.547     -178.699
     168.355     -224.507     -178.028
     169.914     -224.467     -177.361
     171.488     -224.428     -176.699
     173.077      -224.39     -176.041
      174.68     -224.351     -175.387
     176.298     -224.313     -174.737
      177.93     -224.276      -174.09
     179.578     -224.238     -173.448
     181.242     -224.201     -172.808
      182.92     -224.165     -172.172
     184.615     -224.129      -171.54
     186.325     -224.093      -170.91
      188.05     -224.058     -170.283
     189.792     -224.023     -169.659
      191.55     -223.988     -169.038
     193.324     -223.954     -168.419
     195.115     -223.921     -167.803
     196.922     -223.887     -167.189
     198.746     -223.855     -166.577
     200.587     -223.822     -165.968
     202.445      -223.79      -165.36
      204.32     -223.759     -164.753
     206.212     -223.728     -164.149
     208.122     -223.697     -163.546
      210.05     -223.667     -162.945
     211.995     -223.637     -162.344
     213.959     -223.608     -161.744
     215.941     -223.579     -161.146
     217.941     -223.551     -160.549
     219.959     -223.524     -159.951
     221.997     -223.497     -159.355
     224.053      -223.47     -158.759
     226.128     -223.444     -158.163
     228.222     -223.419     -157.567
     230.336     -223.394      -156.97
      232.47      -223.37     -156.374
     234.623     -223.347     -155.777
     236.796     -223.324      -155.18
     238.989     -223.302     -154.582
     241.203     -223.281     -153.982
     243.437     -223.261     -153.382
     245.692     -223.241      -152.78
     247.967     -223.223     -152.176
     250.264     -223.205     -151.571
     252.582     -223.189     -150.964
     254.921     -223.173     -150.354
     257.283     -223.159     -149.741
     259.666     -223.146     -149.126
     262.071     -223.135     -148.507
     264.498     -223.125     -147.885
     266.948     -223.117     -147.258
      269.42     -223.111     -146.627
     271.916     -223.107      -145.99
     274.434     -223.105     -145.348
     276.976     -223.106     -144.699
     279.542     -223.109     -144.042
     282.131     -223.116     -143.377
     284.744     -223.127     -142.702
     287.381     -223.142     -142.015
     290.043     -223.163     -141.315
     292.729     -223.189     -140.598
     295.441     -223.222     -139.862
     298.177     -223.264     -139.103
     300.939     -223.316     -138.313
     303.726     -223.381     -137.486
      306.54     -223.461      -136.61
