%#Format: frequency (Hz)  ratio (dB)  phase (deg)
     3338.29     -197.288      -69.435
     3369.21     -197.205     -68.0485
     3400.41     -197.134     -66.6573
     3431.91     -197.078     -65.2542
     3463.69     -197.035     -63.8292
     3495.78     -197.007     -62.3716
     3528.15     -196.993     -60.8705
     3560.83     -196.995     -59.3143
     3593.81     -197.012     -57.6888
      3627.1     -197.043     -55.9811
      3660.7     -197.088     -54.1764
      3694.6     -197.147     -52.2598
     3728.82     -197.217      -50.216
     3763.36     -197.298     -48.0298
     3798.22     -197.388     -45.6863
      3833.4     -197.483     -43.1719
      3868.9      -197.58     -40.4753
     3904.74     -197.677     -37.5884
      3940.9     -197.768     -34.5078
      3977.4     -197.849     -31.2358
     4014.24     -197.915     -27.7818
     4051.42     -197.963     -24.1624
     4088.95     -197.988     -20.4014
     4126.82     -197.987     -16.5287
     4165.04     -197.959     -12.5791
     4203.62     -197.903     -8.58978
     4242.56      -197.82     -4.59715
     4281.85     -197.712    -0.634333
     4321.51     -197.584      3.27116
     4361.54     -197.438      7.09895
     4401.94      -197.28      10.8364
     4442.71     -197.114      14.4786
     4483.86     -196.945      18.0274
     4525.39     -196.777      21.4908
      4567.3     -196.613      24.8814
      4609.6     -196.457      28.2156
      4652.3     -196.311      31.5116
     4695.39     -196.176      34.7896
     4738.88     -196.054      38.0698
     4782.77     -195.944      41.3727
     4827.07     -195.848      44.7185
     4871.78     -195.765      48.1265
      4916.9     -195.693      51.6148
     4962.44     -195.631      55.2003
     5008.41     -195.579      58.8978
      5054.8     -195.534      62.7205
     5101.62     -195.494      66.6791
     5148.87     -195.456      70.7815
     5196.56     -195.418       75.034
     5244.69     -195.378      79.4389
     5293.27     -195.333      83.9956
     5342.29      -195.28      88.7007
     5391.77     -195.219       93.548
     5441.71     -195.145      98.5287
     5492.12     -195.059      103.633
     5542.99     -194.959      108.848
     5594.33     -194.844      114.163
     5646.14     -194.715      119.566
     5698.44     -194.571      125.045
     5751.22     -194.415      130.593
     5804.49     -194.246      136.202
     5858.25     -194.066      141.868
     5912.51     -193.877       147.59
     5967.27     -193.679      153.368
     6022.54     -193.475      159.207
     6078.32     -193.266      165.113
     6134.62     -193.053      171.092
     6191.44     -192.836      177.156
     6248.79     -192.618     -176.687
     6306.67     -192.399     -170.422
     6365.08      -192.18     -164.037
     6424.03     -191.962     -157.518
     6483.53     -191.747     -150.851
     6543.59      -191.54     -144.031
     6604.19     -191.362      -136.64
     6665.36     -191.112     -129.302
      6727.1     -190.911     -121.866
     6789.41     -190.728     -113.981
     6852.29     -190.557      -105.66
     6915.76     -190.401     -96.8064
     6979.81     -190.259     -87.2741
     7044.46     -190.125      -76.856
     7109.71     -189.981     -65.2714
     7175.56     -189.783     -52.2342
     7242.02     -189.463      -37.296
      7309.1      -188.88     -20.3887
      7376.8     -187.872     -1.89659
     7445.12     -186.313      17.0558
     7514.08     -184.206      35.0243
     7583.68     -181.667      50.9966
     7653.92     -178.829      64.6657
     7724.81     -175.777      76.1541
     7796.36     -172.532      85.6658
     7868.57     -169.057      93.2512
     7941.45     -165.261      98.5957
     8015.01     -160.979       100.55
     8089.24     -156.003      95.5894
     8164.17      -150.79      73.6847
     8239.79     -149.256      33.9081
      8316.1     -151.219      12.2575
     8393.13     -152.868      6.36865
     8470.87     -153.803      6.44131
     8549.33     -154.229       8.9908
     8628.51     -154.304      12.7593
     8708.43     -154.128      17.2474
     8789.09     -153.765        22.29
      8870.5     -153.259       27.962
     8952.66     -152.647      34.7023
     9035.58     -151.982      44.0035
     9119.27     -151.453      63.0259
     9203.73     -151.092     -106.604
     9288.98     -150.028     -25.0449
     9375.01     -148.334      14.1499
     9461.85     -147.131       24.614
     9549.49     -146.005      29.6469
     9637.93     -144.912      32.2506
      9727.2     -143.869      33.2649
      9817.3     -142.911      33.0594
     9908.23     -142.079      31.9191
       10000     -141.413      30.1828
